value_date,delta_call_25_a,delta_put_25_b,delta_call_50_c,signal,opmth,ftmth,pdt,lots,vega
1/3/2017,20.54831765,18.89950467,19.44119716,0,N7,N7,CT,1000,10000
1/4/2017,22.21231919,20.08157496,20.78015333,0,N7,N7,CT,1000,10000
1/5/2017,22.97304874,20.60546875,21.06360282,0,N7,N7,CT,1000,10000
1/6/2017,22.9406793,20.65429688,21.1825644,0,N7,N7,CT,1000,10000
1/9/2017,22.93357684,20.6077939,21.18217889,0,N7,N7,CT,1000,10000
1/10/2017,22.3317593,20.1171875,20.67032443,0,N7,N7,CT,1000,10000
1/11/2017,22.27564103,20.1171875,20.63950047,0,N7,N7,CT,1000,10000
1/12/2017,21.27866937,19.23460601,19.72540269,0,N7,N7,CT,1000,10000
1/13/2017,21.02283779,18.94799536,19.51100977,0,N7,N7,CT,1000,10000
1/17/2017,21.03635873,19.03297244,19.52841774,0,N7,N7,CT,1000,10000
1/18/2017,21.30434783,18.75241127,19.39775659,0,N7,N7,CT,1000,10000
1/19/2017,21.73209761,19.7265625,20.24985709,0,N7,N7,CT,1000,10000
1/20/2017,21.42805044,19.37779018,19.89931224,0,N7,N7,CT,1000,10000
1/23/2017,22.24895198,19.63584498,20.41552734,0,N7,N7,CT,1000,10000
1/24/2017,21.44114377,19.04296875,19.68690398,0,N7,N7,CT,1000,10000
1/25/2017,21.70307576,19.3359375,19.97961252,0,N7,N7,CT,1000,10000
1/26/2017,22.43138915,19.37899026,20.38238893,0,N7,N7,CT,1000,10000
1/27/2017,23.39108044,20.22926723,21.15976762,0,N7,N7,CT,1000,10000
1/30/2017,23.65506904,20.80078125,21.60746257,0,N7,N7,CT,1000,10000
1/31/2017,25.07530706,20.79525354,22.32617703,-1,N7,N7,CT,1000,10000
2/1/2017,26.86330214,22.14012815,23.77646626,-1,N7,N7,CT,1000,10000
2/2/2017,27.64322917,22.50764924,24.07667781,-1,N7,N7,CT,1000,10000
2/3/2017,27.28180804,22.54943848,24.07198174,-1,N7,N7,CT,1000,10000
2/6/2017,27.04273266,21.76350911,23.83646818,-1,N7,N7,CT,1000,10000
2/7/2017,26.2943171,21.09648438,23.01855733,-2,N7,N7,CT,1000,10000
2/8/2017,26.99368169,21.28481658,23.32078887,-2,N7,N7,CT,1000,10000
2/9/2017,26.37541696,20.94964105,22.84300086,-2,N7,N7,CT,1000,10000
2/10/2017,26.19628906,20.85813492,22.71160595,-2,N7,N7,CT,1000,10000
2/13/2017,27.52992507,21.95526541,23.95321278,-2,N7,N7,CT,1000,10000
2/14/2017,26.4578683,21.05722502,22.9500127,-2,N7,N7,CT,1000,10000
2/15/2017,25.16644965,20.21422567,22.02520225,-1,N7,N7,CT,1000,10000
2/16/2017,24.58838347,19.7163949,21.46210252,-2,N7,N7,CT,1000,10000
2/17/2017,23.84129441,19.6464283,21.25090071,-1,N7,N7,CT,1000,10000
2/21/2017,24.20267998,19.81466802,21.330782,-1,N7,N7,CT,1000,10000
2/22/2017,23.19253178,19.19745583,20.6157543,-1,N7,N7,CT,1000,10000
2/23/2017,22.73530506,19.28528743,20.36612374,-1,N7,N7,CT,1000,10000
2/24/2017,23.44866071,20.1488598,21.24951288,-1,N7,N7,CT,1000,10000
2/27/2017,23.11439514,19.84741501,20.79427083,-1,N7,N7,CT,1000,10000
2/28/2017,22.03764332,18.97694112,19.95573467,-1,N7,N7,CT,1000,10000
3/1/2017,23.19237095,19.79062692,20.8703107,-1,N7,N7,CT,1000,10000
3/2/2017,22.78293919,19.43359375,20.60894871,-1,N7,N7,CT,1000,10000
3/3/2017,22.67923912,19.0896532,20.14047969,-1,N7,N7,CT,1000,10000
3/6/2017,23.56638354,20.25495257,21.2345097,-1,N7,N7,CT,1000,10000
3/7/2017,23.29354457,19.92255317,20.93976197,-1,N7,N7,CT,1000,10000
3/8/2017,23.15550812,19.93096713,20.97438036,-1,N7,N7,CT,1000,10000
3/9/2017,22.77984619,19.7265625,20.69163603,0,N7,N7,CT,1000,10000
3/10/2017,22.05421532,19.31706181,20.2156525,0,N7,N7,CT,1000,10000
3/13/2017,21.73673266,19.05554892,19.93818419,0,N7,N7,CT,1000,10000
3/14/2017,21.80875547,19.18945313,19.9996456,0,N7,N7,CT,1000,10000
3/15/2017,22.26805024,19.2783398,20.26639014,0,N7,N7,CT,1000,10000
3/16/2017,21.54942615,18.90055339,19.67987,0,N7,N7,CT,1000,10000
3/17/2017,21.10667067,18.75,19.48413181,0,N7,N7,CT,1000,10000
3/20/2017,21.15339633,18.9531815,19.51687795,0,N7,N7,CT,1000,10000
3/21/2017,20.81994743,19.04296875,19.47210348,0,N7,N7,CT,1000,10000
3/22/2017,20.95336914,19.09472253,19.60105681,0,N7,N7,CT,1000,10000
3/23/2017,21.14913713,19.23999629,19.71062236,0,N7,N7,CT,1000,10000
3/24/2017,21.22537364,19.23828125,19.84344836,0,N7,N7,CT,1000,10000
3/27/2017,21.54279692,19.54057173,20.13331086,0,N7,N7,CT,1000,10000
3/28/2017,21.07008484,19.3359375,19.79899983,0,N7,N7,CT,1000,10000
3/29/2017,21.0630114,19.54622795,19.96567929,0,N7,N7,CT,1000,10000
3/30/2017,20.63244561,19.7995477,19.82421875,2,N7,N7,CT,1000,10000
3/31/2017,21.00058213,19.921875,20.20788106,2,N7,N7,CT,1000,10000
